Periodo,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,KS,PSI_Medio,Taxa_Rain,N_Amostras
Mês 01,0.8257372654155496,0.560126582278481,0.5939597315436241,0.5765472312703583,0.8069879599338976,0.6330648449900159,0.4934403561431318,0.8510269584161998,0.19973190348525469,1492
Mês 02,0.8185873605947955,0.5675675675675675,0.5915492957746479,0.5793103448275863,0.8602069533127131,0.6289272769305686,0.5842979649812162,0.3772071913437502,0.21115241635687731,1345
Mês 03,0.8027027027027027,0.6357466063348416,0.6820388349514563,0.65807962529274,0.8684911457765172,0.7430903861800073,0.5729882549725465,0.33043299924678166,0.27837837837837837,1480
Mês 04,0.8587181254307374,0.6614173228346457,0.5853658536585366,0.6210720887245841,0.8695579941808256,0.6900441671694408,0.5669025467868817,0.24473755373706269,0.1977946243969676,1451
Mês 05,0.8554297135243171,0.6386861313868614,0.5972696245733788,0.6172839506172839,0.8708835295979025,0.6589338445271486,0.6032705738760934,0.3330532855933414,0.19520319786808793,1501
Mês 06,0.8638262322472848,0.5714285714285714,0.5502645502645502,0.5606469002695418,0.8760655496766607,0.6217171241285613,0.6061507936507936,0.7101554934445086,0.15789473684210525,1197
