Período,ROC-AUC,PR-AUC,KS,Taxa Rain=Yes,Accuracy,Precision,Recall,F1-Score
Histórico (Baseline),0.8718,0.7077,0.5761,22.52%,0.8297,0.6092,0.6803,0.6428
Mês 01,0.8070,0.6331,0.4934,19.97%,0.8257,0.5601,0.5940,0.5765
Mês 02,0.8602,0.6289,0.5843,21.12%,0.8186,0.5676,0.5915,0.5793
Mês 03,0.8685,0.7431,0.5730,27.84%,0.8027,0.6357,0.6820,0.6581
Mês 04,0.8696,0.6900,0.5669,19.78%,0.8587,0.6614,0.5854,0.6211
Mês 05,0.8709,0.6589,0.6033,19.52%,0.8554,0.6387,0.5973,0.6173
Mês 06,0.8761,0.6217,0.6062,15.79%,0.8638,0.5714,0.5503,0.5606
